frame_id,track_id,x,y,w,h
1,12,543,509,66,130
1,11,733,496,62,138
1,10,276,461,101,178
1,9,207,419,62,188
1,8,51,408,54,137
1,7,206,270,28,76
1,6,166,281,21,56
1,5,143,271,30,78
1,4,108,256,27,103
1,3,34,272,38,71
1,2,562,241,19,39
1,1,236,222,19,47
2,16,147,397,74,185
2,15,132,387,56,133
2,14,0,308,27,79
2,13,84,259,23,49
2,12,544,507,83,136
2,11,730,496,62,142
2,7,202,268,31,82
2,6,157,271,31,79
2,5,131,268,31,82
2,4,106,263,33,89
2,3,45,257,37,63
3,19,733,584,63,55
3,18,629,542,97,97
3,17,372,400,82,148
3,11,720,496,66,140
3,7,200,261,30,88
3,6,157,265,31,83
3,5,132,269,31,79
3,4,103,260,35,94
4,7,199,262,29,87
4,6,162,268,32,82
4,5,123,265,30,85
5,6,158,271,29,80
5,5,126,265,30,85
6,13,100,265,37,92
6,5,133,271,30,81
7,5,134,266,30,85
8,5,133,268,29,82
10,37,89,261,32,96
10,32,144,273,31,80
11,37,97,261,29,94
11,32,132,270,32,81
12,37,95,267,29,88
12,32,128,272,30,79
13,51,159,271,29,77
13,37,94,265,30,90
14,37,93,269,30,89
15,37,92,264,30,90
16,37,89,265,30,87
17,74,260,370,54,117
17,71,119,266,31,82
17,37,92,264,31,86
18,85,167,251,35,94
18,77,51,256,36,81
18,74,263,369,58,117
22,93,135,267,34,75
22,37,92,258,32,88
23,74,309,429,63,158
23,37,86,263,29,87
24,37,94,263,28,86
25,108,168,411,69,181
28,37,80,269,28,83
29,126,293,368,49,131
29,37,77,270,27,83
30,37,76,271,28,78
31,131,228,369,55,125
31,37,74,269,28,80
32,37,73,263,29,80
33,37,76,268,29,81
34,37,77,271,27,80
35,131,234,366,56,127
35,37,77,273,26,79
36,131,224,370,57,116
36,37,79,271,27,81
37,131,211,377,57,118
37,37,76,270,29,84
38,173,656,372,67,161
39,173,653,378,66,165
39,172,496,396,69,162
43,199,267,355,61,148
44,205,56,257,28,75
45,205,56,267,29,75
45,185,95,270,30,83
46,205,53,266,30,79
47,218,208,399,57,151
48,219,253,365,54,139
49,227,73,266,32,87
50,227,81,279,36,79
51,227,86,283,34,72
57,278,131,270,33,81
58,283,89,268,32,81
58,278,129,250,32,86
59,283,98,265,32,85
59,278,126,244,32,91
63,316,89,270,26,82
63,278,134,274,29,74
64,316,92,275,28,78
64,278,131,272,29,78
65,316,85,268,30,86
65,278,125,276,31,77
66,338,425,374,47,129
66,337,375,358,56,147
66,316,89,272,29,85
66,278,131,276,29,75
67,338,429,381,45,126
67,337,376,367,54,142
67,316,83,267,31,90
67,278,127,278,29,75
68,338,418,381,46,126
68,337,366,361,55,149
68,316,88,269,33,92
68,278,126,280,30,76
69,338,410,380,44,123
69,337,367,358,55,153
69,316,95,270,31,90
69,278,132,271,31,80
70,337,364,358,56,152
70,316,90,266,33,89
70,278,135,270,30,81
71,337,368,360,53,149
71,316,96,270,34,79
72,356,177,262,31,84
72,337,355,359,48,141
73,356,166,255,33,88
73,338,382,368,39,125
73,337,350,360,49,142
74,366,219,244,29,73
74,337,347,362,48,140
75,368,122,270,29,80
75,366,229,254,22,57
76,368,125,268,29,83
76,366,227,253,26,63
77,368,128,266,30,86
77,366,233,250,22,57
79,364,213,367,60,129
83,407,87,269,28,81
94,453,114,266,29,86
95,453,107,270,26,79
96,458,64,270,28,77
96,453,105,271,26,77
97,453,106,270,27,82
98,453,105,269,28,84
99,453,97,273,28,81
101,453,92,273,27,78
104,481,504,374,47,121
104,480,469,366,48,136
105,481,502,377,49,128
105,480,466,373,43,130
106,481,502,366,49,140
106,480,465,380,38,122
107,488,108,270,29,82
107,481,504,361,49,146
107,480,464,383,38,116
108,488,105,262,31,89
108,481,510,365,50,147
108,480,467,379,40,121
109,488,100,273,29,82
109,481,507,359,51,147
109,480,467,375,41,121
110,488,103,275,28,79
110,481,502,356,49,150
111,488,96,274,28,78
111,481,497,352,49,152
112,488,97,275,26,76
112,481,490,351,48,152
113,506,455,358,48,142
113,504,148,261,26,85
113,488,88,275,26,77
113,481,490,353,46,144
114,488,78,274,27,78
115,488,76,272,27,78
116,488,77,273,30,79
117,488,84,272,29,80
118,488,78,272,31,81
119,488,77,269,32,82
121,531,475,310,33,99
121,528,132,266,26,83
123,543,219,259,29,75
128,562,88,266,31,86
129,567,131,270,26,78
129,562,77,267,29,85
130,562,62,264,34,86
131,562,57,264,34,87
132,562,49,262,36,87
133,562,46,262,38,89
134,562,40,262,39,88
135,562,43,264,38,86
136,594,116,273,25,75
137,594,115,273,26,76
138,594,118,274,25,76
139,594,121,273,27,78
140,594,122,274,27,78
141,594,121,274,26,78
142,594,116,271,29,80
143,594,118,268,27,81
144,632,56,266,30,81
145,632,58,257,32,78
146,634,86,264,27,80
154,641,142,272,29,80
155,670,105,269,27,81
155,641,144,271,30,78
156,670,109,273,25,76
156,641,156,276,30,75
157,670,106,269,29,81
158,670,104,268,32,82
159,670,112,268,31,82
160,670,119,268,32,82
161,687,172,274,30,72
161,670,121,271,31,79
162,687,175,275,30,70
162,670,127,269,30,81
166,670,132,260,34,82
167,670,142,269,32,79
168,699,87,276,35,89
168,670,144,272,32,80
169,670,152,273,31,76
170,670,156,272,30,75
171,670,168,272,29,75
174,747,553,364,52,95
175,747,552,367,52,93
175,746,170,272,29,77
176,760,619,368,38,112
176,747,549,364,55,96
177,760,604,372,43,95
177,747,551,361,54,98
178,760,586,367,53,115
179,760,581,378,54,118
181,760,587,390,54,129
182,760,590,386,53,124
186,791,649,364,42,117
195,843,124,283,31,81
196,843,126,283,31,81
197,871,89,276,31,82
197,843,122,280,35,81
198,843,121,259,37,80
199,843,121,269,36,78
200,843,128,270,36,79
201,843,123,277,36,79
202,843,136,275,34,77
203,843,139,276,35,76
204,843,135,274,34,77
205,843,137,270,33,79
206,843,150,266,31,80
207,906,106,267,28,78
207,843,155,268,30,79
208,906,109,269,26,77
208,843,158,276,27,73
209,906,114,270,27,77
209,843,163,273,24,72
214,925,98,266,32,102
227,958,152,270,29,74
228,958,157,270,30,74
229,958,159,255,30,83
243,1042,104,267,28,85
244,1042,106,267,28,85
246,1085,644,360,45,135
246,1084,122,265,34,89
247,1085,644,356,46,137
247,1084,129,268,30,84
248,1085,646,364,42,128
248,1084,121,271,30,83
251,1102,473,378,43,130
251,1093,161,277,30,83
252,1093,160,272,31,87
254,1114,519,353,40,89
254,1113,95,268,30,84
255,1113,89,270,27,82
256,1113,87,271,26,84
259,1126,134,274,29,73
263,1151,164,277,22,64
263,1122,736,374,67,142
264,1151,164,283,20,56
264,1122,747,379,59,137
266,1126,148,272,30,85
267,1126,143,258,31,87
273,1183,177,279,24,69
274,1185,122,266,33,94
274,1183,170,281,20,63
275,1186,223,276,31,75
275,1185,120,261,34,94
276,1189,14,348,74,79
276,1186,219,272,33,80
277,1189,16,348,74,79
277,1186,224,273,31,82
278,1189,16,350,72,77
278,1186,221,267,32,83
279,1189,16,348,70,78
279,1186,225,255,33,88
280,1189,16,350,68,77
281,1189,17,351,67,75
282,1189,17,350,68,75
283,1189,15,349,67,74
284,1223,127,267,32,84
284,1189,16,351,65,72
285,1189,16,351,64,71
286,1189,17,353,63,69
287,1235,160,275,25,77
287,1189,17,353,63,70
288,1189,17,350,63,72
289,1189,16,352,64,73
290,1189,17,351,63,74
291,1262,214,277,31,71
291,1235,162,269,27,80
291,1189,18,350,66,75
292,1262,215,275,32,74
292,1235,160,271,27,78
292,1189,18,350,66,77
293,1262,216,274,33,74
293,1235,160,271,26,79
293,1189,18,351,65,74
294,1189,16,348,66,75
295,1189,17,349,67,75
296,1271,140,276,27,75
296,1189,17,348,69,76
297,1189,17,348,70,76
298,1189,18,349,65,74
299,1189,18,349,64,74
301,1189,20,351,65,73
302,1189,19,350,67,74
303,1189,16,351,69,74
304,1303,200,275,28,84
304,1189,18,350,71,74
305,1303,201,273,28,80
305,1189,20,352,74,74
306,1315,423,306,54,113
306,1312,87,270,32,80
306,1311,63,263,32,88
306,1189,17,351,73,73
307,1315,411,311,51,107
307,1312,75,271,34,86
307,1189,15,351,73,73
308,1315,409,307,53,111
308,1312,81,270,32,85
308,1189,15,351,71,75
309,1315,395,309,52,111
309,1189,14,352,70,73
310,1315,402,310,48,106
310,1189,16,352,70,72
311,1189,15,348,72,75
312,1189,14,347,73,75
313,1189,14,348,71,76
314,1189,15,348,72,77
315,1189,16,348,70,77
316,1189,18,348,69,77
317,1189,18,349,67,76
318,1189,17,352,65,75
319,1189,19,351,64,74
320,1189,19,350,66,74
