frame_id,track_id,x,y,w,h
1,15,2137,1334,228,105
1,14,2080,1213,208,226
1,13,1956,960,222,463
1,12,2157,947,147,279
1,11,2047,994,152,226
1,10,1298,886,118,244
1,9,1225,884,111,236
1,8,1134,887,131,221
1,7,428,870,99,271
1,6,22,728,109,160
1,5,2083,656,58,92
1,4,147,334,2008,620
1,3,549,565,84,201
1,2,308,575,87,193
1,1,158,608,59,119
2,15,2111,1326,266,113
2,14,2078,1214,211,225
2,13,1960,960,235,461
2,12,2174,944,139,281
2,10,1297,886,118,244
2,9,1225,883,110,236
2,8,1133,886,131,221
2,7,427,869,99,272
2,6,13,761,128,211
2,5,2079,656,58,92
2,4,151,334,2002,619
2,2,308,576,86,190
2,1,159,604,59,120
3,15,2107,1326,274,112
3,14,2078,1214,211,225
3,13,1959,962,239,458
3,12,2175,942,138,284
3,10,1297,886,118,244
3,9,1225,884,111,234
3,8,1133,886,131,221
3,7,427,869,99,272
3,6,14,759,127,222
3,5,2079,656,57,92
3,4,151,335,2001,617
3,2,308,577,86,188
3,1,159,604,60,120
4,15,2111,1323,274,113
4,14,2087,1223,201,216
4,13,1975,965,230,447
4,12,2179,945,133,284
4,10,1297,886,118,244
4,9,1225,883,111,236
4,8,1133,886,131,221
4,7,427,870,100,270
4,6,30,725,116,200
4,4,165,339,1973,611
4,2,303,575,89,191
4,1,164,604,61,118
5,15,2112,1322,273,114
5,14,2090,1226,197,212
5,13,1979,967,227,442
5,12,2180,945,131,285
5,10,1297,886,118,244
5,9,1225,883,111,236
5,8,1133,887,131,220
5,7,427,870,100,270
5,6,36,719,110,189
5,4,172,340,1960,609
5,2,302,575,90,191
5,1,165,604,62,117
6,15,2097,1323,285,114
6,13,1991,968,228,436
6,12,2177,947,127,276
6,10,1297,886,118,243
6,9,1224,883,111,237
6,8,1133,887,132,220
6,7,428,869,99,271
6,6,41,716,108,182
6,4,174,339,1953,610
6,2,301,574,91,192
6,1,166,604,62,118
7,15,2091,1324,292,113
7,13,1995,970,228,431
7,12,2176,949,125,271
7,10,1296,886,120,243
7,9,1224,883,111,237
7,8,1133,887,132,220
7,7,429,870,99,269
7,6,43,717,107,178
7,4,175,337,1950,613
7,2,300,574,92,192
7,1,166,604,62,118
8,15,2160,1333,265,107
8,13,2004,1016,236,418
8,12,2161,952,126,264
8,10,1297,885,119,244
8,9,1223,883,112,237
8,8,1133,887,133,220
8,7,429,870,99,269
8,6,46,717,109,179
8,4,176,330,1950,626
8,2,299,575,92,191
8,1,166,603,62,119
9,15,2189,1336,248,104
9,13,2006,1034,240,410
9,12,2156,954,127,260
9,10,1297,885,119,244
9,9,1223,883,111,237
9,8,1133,888,132,220
9,7,430,870,98,269
9,6,47,718,110,179
9,4,178,325,1946,635
9,2,299,575,91,191
9,1,165,602,64,121
10,15,2214,1338,240,101
10,13,2011,998,233,415
10,12,2153,961,127,253
10,10,1297,885,119,244
10,9,1222,883,112,237
10,8,1133,887,133,220
10,7,430,870,98,269
10,6,49,718,112,179
10,4,176,321,1950,643
10,2,296,576,92,190
11,17,2238,941,140,283
11,15,2229,1336,238,102
11,13,2021,1025,226,404
11,12,2150,966,128,249
11,10,1297,885,119,244
11,9,1221,883,113,237
11,8,1133,887,133,220
11,7,429,870,98,270
11,6,54,719,114,177
11,4,264,225,1932,627
11,2,295,576,92,190
12,17,2238,940,141,286
12,15,2234,1335,237,103
12,13,2025,1036,221,397
12,12,2149,969,130,245
12,10,1297,885,120,244
12,9,1221,883,113,237
12,8,1133,887,133,221
12,7,428,870,98,270
